new_variables_card_id,image_uri
230,https://img.scryfall.com/cards/large/en/lea/76.jpg?1525123353
231,https://img.scryfall.com/cards/large/en/lea/172.jpg?1525123335
232,https://img.scryfall.com/cards/large/en/lea/127.jpg?1525123962
233,https://img.scryfall.com/cards/large/en/lea/39.jpg?1525123142
234,https://img.scryfall.com/cards/large/en/lea/216.jpg?1525123070
235,https://img.scryfall.com/cards/large/en/lea/173.jpg?1525123967
236,https://img.scryfall.com/cards/large/en/lea/174.jpg?1525123073
237,https://img.scryfall.com/cards/large/en/lea/128.jpg?1525123972
238,https://img.scryfall.com/cards/large/en/lea/129.jpg?1525123975
239,https://img.scryfall.com/cards/large/en/lea/77.jpg?1525123979
240,https://img.scryfall.com/cards/large/en/lea/78.jpg?1525123984
241,https://img.scryfall.com/cards/large/en/lea/175.jpg?1525123989
242,https://img.scryfall.com/cards/large/en/lea/269.jpg?1525123993
243,https://img.scryfall.com/cards/large/en/lea/270.jpg?1525123997
244,https://img.scryfall.com/cards/large/en/lea/79.jpg?1525124003
245,https://img.scryfall.com/cards/large/en/lea/80.jpg?1525124007
246,https://img.scryfall.com/cards/large/en/lea/81.jpg?1525123775
247,https://img.scryfall.com/cards/large/en/lea/176.jpg?1525123571
248,https://img.scryfall.com/cards/large/en/lea/177.jpg?1525124011
249,https://img.scryfall.com/cards/large/en/lea/217.jpg?1525124015
250,https://img.scryfall.com/cards/large/en/lea/271.jpg?1525124020
251,https://img.scryfall.com/cards/large/en/lea/290.jpg?1525124024
252,https://img.scryfall.com/cards/large/en/lea/291.jpg?1525124032
253,https://img.scryfall.com/cards/large/en/lea/40.jpg?1525124037
254,https://img.scryfall.com/cards/large/en/lea/282.jpg?1525124044
255,https://img.scryfall.com/cards/large/en/lea/130.jpg?1525124049
256,https://img.scryfall.com/cards/large/en/lea/272.jpg?1525124055
257,https://img.scryfall.com/cards/large/en/lea/218.jpg?1525123233
258,https://img.scryfall.com/cards/large/en/lea/82.jpg?1525124060
